,index,L_PCG,L_SFG,L_MFG,L_IFGop,L_IFGtri,L_IFGorb,L_SMA,L_SFGmedial,L_OFGmedial,L_INS,L_ACCsub,L_ACCpre,L_ACCsup,L_PCC,L_SOG,L_FUS,L_SPG,L_IPG,L_SMG,L_AG,L_STG,L_supTP,L_MTG,L_midTP,L_ITG,R_PCG,R_SFG,R_MFG,R_IFGop,R_IFGtri,R_IFGorb,R_SMA,R_SFGmedial,R_OFGmedial,R_INS,R_ACCsub,R_ACCpre,R_ACCsup,R_PCC,R_SOG,R_FUS,R_SPG,R_IPG,R_SMG,R_AG,R_STG,R_supTP,R_MTG,R_midTP,R_ITG,index,L_PCG,L_SFG,L_MFG,L_IFGop,L_IFGtri,L_IFGorb,L_SMA,L_SFGmedial,L_OFGmedial,L_INS,L_ACCsub,L_ACCpre,L_ACCsup,L_PCC,L_SOG,L_FUS,L_SPG,L_IPG,L_SMG,L_AG,L_STG,L_supTP,L_MTG,L_midTP,L_ITG,R_PCG,R_SFG,R_MFG,R_IFGop,R_IFGtri,R_IFGorb,R_SMA,R_SFGmedial,R_OFGmedial,R_INS,R_ACCsub,R_ACCpre,R_ACCsup,R_PCC,R_SOG,R_FUS,R_SPG,R_IPG,R_SMG,R_AG,R_STG,R_supTP,R_MTG,R_midTP,R_ITG
38,38,136,80,40,0,82,28,0,30,0,12,38,96,6,218,0,38,134,132,90,0,48,0,110,56,52,106,204,148,42,88,0,82,166,44,30,94,80,6,184,120,12,146,204,26,92,38,72,284,100,214,38,6,12,12,2,4,6,7,14,3,4,3,12,8,7,3,5,8,4,6,5,7,2,4,5,6,16,23,21,13,20,13,16,19,4,13,6,15,7,5,5,10,10,8,13,14,15,15,19,13,16
39,39,0,78,144,38,168,74,72,96,6,0,0,66,2,88,0,36,40,66,0,80,12,10,104,22,100,12,88,182,152,208,36,28,212,52,0,16,48,22,90,28,104,150,112,148,74,20,12,42,218,18,39,4,12,12,6,13,16,10,13,6,3,3,6,3,11,5,9,6,7,5,7,5,9,13,7,13,14,13,15,15,16,16,7,13,6,5,3,7,6,16,6,9,14,12,11,14,9,12,9,18,12
40,40,2,4,52,76,136,20,142,28,0,12,96,10,0,42,2,12,12,116,54,16,66,0,200,30,18,192,60,92,54,42,26,142,24,30,4,0,12,38,14,72,22,140,130,84,2,256,84,130,16,44,40,3,15,20,4,9,17,28,19,3,8,4,26,8,16,8,17,5,5,6,4,10,14,20,26,21,27,24,20,21,27,31,27,16,26,13,1,25,15,19,19,20,18,12,17,14,29,30,29,27,19
41,41,116,228,86,80,6,0,6,62,66,4,86,178,0,170,26,20,66,68,36,106,14,0,6,0,76,200,142,138,16,0,168,140,308,138,4,28,64,42,22,20,130,40,36,58,106,80,124,126,26,48,41,4,15,9,7,5,1,8,15,3,8,5,12,9,11,11,7,4,4,5,4,5,2,5,5,8,9,19,14,7,10,17,8,17,5,7,7,12,10,11,10,10,12,10,18,14,14,9,14,6,10
42,42,82,98,162,46,90,220,118,66,10,4,0,12,0,74,0,46,48,104,48,82,156,70,70,0,184,138,198,68,92,54,34,132,6,8,14,0,6,2,12,56,80,116,96,18,94,32,8,0,34,90,42,5,18,18,12,19,10,19,15,3,9,1,14,11,15,6,7,5,7,7,9,13,5,10,3,8,9,21,15,15,16,18,13,12,3,6,0,13,15,10,7,7,9,12,9,19,10,3,8,9,14
43,43,76,70,42,116,0,0,34,92,0,0,0,28,106,82,30,28,0,82,54,80,58,0,52,0,16,86,84,132,54,74,20,72,62,0,22,0,0,30,0,34,4,176,118,120,128,42,6,54,160,50,43,8,10,8,9,5,0,8,10,0,0,1,5,9,7,11,6,3,6,10,12,10,1,12,0,7,15,13,16,12,10,11,8,9,0,10,1,3,4,1,9,7,10,13,14,12,14,8,13,9,10
44,44,100,20,100,22,70,38,18,104,18,6,0,126,16,0,6,46,94,74,56,54,70,8,68,52,98,0,208,156,20,152,54,40,178,10,108,0,48,8,6,4,32,86,72,80,246,248,118,168,18,96,44,8,9,15,5,9,5,12,11,5,3,5,10,7,4,8,9,7,5,5,6,9,2,6,9,12,9,12,18,12,17,11,10,10,6,14,5,10,6,3,8,12,13,16,16,14,12,14,15,8,15
45,45,8,26,52,16,228,222,128,94,0,32,0,172,6,10,34,30,74,12,10,44,88,44,86,116,30,252,10,44,72,44,18,20,152,28,46,0,34,72,80,60,62,160,32,84,48,94,0,36,80,8,45,6,15,13,13,27,19,18,17,2,14,7,21,13,2,8,8,4,2,11,6,14,3,13,8,10,21,14,15,20,16,11,17,20,10,13,2,20,15,6,12,10,16,16,19,10,16,3,9,11,4
46,46,26,30,160,10,140,50,128,0,44,46,10,114,0,6,0,0,52,108,16,0,54,10,58,16,130,184,164,236,42,96,100,92,158,102,140,26,102,60,56,90,94,266,0,140,68,42,56,38,6,62,46,7,11,16,8,16,15,14,11,17,12,6,14,2,5,3,5,13,9,7,4,8,6,9,11,11,15,14,17,14,17,18,12,12,12,11,10,12,11,4,6,12,14,7,14,9,8,10,10,8,11
47,47,78,140,104,0,0,0,14,48,28,0,6,72,88,0,6,12,50,8,18,8,0,0,88,0,96,44,120,144,38,0,52,42,66,312,102,34,174,0,0,50,118,12,252,0,146,0,0,78,80,98,47,15,12,11,0,4,3,13,7,13,4,3,5,10,1,10,12,12,9,6,6,1,0,5,7,11,13,14,8,4,3,4,15,7,19,5,6,13,1,1,15,8,11,19,5,13,2,4,9,16,19
48,48,42,166,112,0,0,90,334,180,0,0,18,84,0,124,10,12,48,114,0,212,0,0,60,0,90,12,46,200,78,68,168,28,150,108,18,0,116,0,0,68,18,0,304,24,256,86,6,164,58,278,48,9,7,6,1,1,8,11,10,3,0,5,4,4,10,5,2,6,6,1,11,2,0,4,0,4,4,7,6,6,9,10,5,12,5,4,2,6,5,6,5,3,6,8,6,9,5,4,11,11,9
49,49,58,220,184,0,70,10,0,0,4,0,30,36,0,38,0,12,156,92,0,98,0,54,80,0,6,56,30,42,62,38,98,52,70,36,150,10,164,50,100,108,128,240,198,30,224,86,0,278,4,182,49,9,14,5,0,4,6,8,2,4,0,6,3,2,7,5,7,12,10,2,11,4,6,9,0,8,6,8,6,7,7,8,9,9,9,10,4,6,4,10,8,9,15,11,2,12,6,2,8,2,14
50,50,0,76,136,64,196,62,74,84,0,24,138,40,2,48,34,80,110,106,0,0,0,0,0,152,90,108,24,36,110,50,144,66,170,88,120,4,40,4,14,20,82,58,178,88,262,84,0,312,34,60,50,3,5,5,1,8,1,9,6,6,0,1,3,1,6,9,7,12,8,4,5,1,8,4,0,9,13,10,7,5,9,6,5,6,7,9,2,6,8,3,13,11,16,11,7,10,13,8,11,5,13
51,51,42,62,80,20,10,64,16,74,12,2,0,102,2,82,22,34,174,132,62,32,0,8,94,0,74,42,108,110,110,48,22,70,164,34,26,0,0,2,2,32,38,462,310,26,354,4,28,184,42,86,51,8,5,9,5,9,10,7,10,4,4,7,9,6,7,10,7,10,5,1,1,1,3,2,8,10,18,12,12,13,11,14,12,11,17,13,4,10,5,6,7,15,8,13,13,13,15,8,18,8,14
52,52,172,118,222,180,194,0,18,18,414,336,0,2,64,46,80,134,16,64,4,0,44,128,0,0,0,20,38,108,2,216,0,0,90,28,78,96,14,2,4,12,56,172,178,32,454,280,98,0,0,0,52,10,16,14,14,12,9,5,16,4,2,2,8,4,10,8,4,11,12,8,7,1,9,5,2,6,11,12,15,15,13,8,8,16,5,7,0,6,4,11,8,5,20,21,9,19,4,7,13,5,7
53,53,26,26,40,0,62,0,32,58,22,0,52,98,38,100,0,70,90,118,46,100,0,2,32,46,40,52,140,320,18,112,58,2,196,16,38,26,0,24,0,100,4,204,338,104,148,72,64,62,20,136,53,12,12,12,2,7,6,12,14,7,0,4,7,12,4,5,6,11,9,9,7,0,3,8,5,9,13,15,17,11,15,11,10,14,7,5,3,7,7,1,8,9,18,18,15,13,11,9,13,6,11
54,54,34,62,22,52,18,0,28,154,8,0,0,6,0,28,0,8,16,0,0,52,10,0,26,0,126,36,90,154,50,102,96,16,250,24,42,0,110,2,0,86,4,106,92,26,182,118,198,372,24,256,54,10,8,13,7,8,10,9,16,9,1,1,4,4,9,2,9,9,6,3,10,6,2,10,3,12,11,17,16,10,12,13,8,17,10,6,1,6,6,4,11,11,13,9,6,18,8,8,22,7,17
